din,drug_name,generic_name,drug_class,common_indication,typical_dosage,route,schedule
02577027,trazodone,trazodone,SARI antidepressant,"Depression, insomnia",50mg at bedtime,oral,Prescription
02270581,quetiapine,quetiapine,Atypical antipsychotic,"Schizophrenia, bipolar",100mg BID,oral,Prescription
02334798,risperidone,risperidone,Atypical antipsychotic,Schizophrenia,2mg daily,oral,Prescription
02869261,lorazepam,lorazepam,Benzodiazepine,"Anxiety, insomnia",1mg PRN,oral,Controlled
02181033,clonazepam,clonazepam,Benzodiazepine,"Seizures, anxiety",0.5mg BID,oral,Controlled
02202621,zopiclone,zopiclone,Cyclopyrrolone hypnotic,Insomnia,7.5mg at bedtime,oral,Prescription
02403290,pregabalin,pregabalin,Anticonvulsant,"Neuropathic pain, anxiety",75mg BID,oral,Prescription
02634468,topiramate,topiramate,Anticonvulsant,"Epilepsy, migraine prevention",50mg BID,oral,Prescription
02539546,valproic acid,valproic acid,Anticonvulsant,"Epilepsy, bipolar",500mg BID,oral,Prescription
02029847,levetiracetam,levetiracetam,Anticonvulsant,Epilepsy,500mg BID,oral,Prescription
02844295,allopurinol,allopurinol,Xanthine oxidase inhibitor,Gout,300mg daily,oral,Prescription
02785663,colchicine,colchicine,Anti-gout,Gout,0.6mg BID,oral,Prescription
02088751,montelukast,montelukast,Leukotriene inhibitor,"Asthma, allergies",10mg daily,oral,Prescription
02373929,cetirizine,cetirizine,Antihistamine,Allergies,10mg daily,oral,OTC
02853662,loratadine,loratadine,Antihistamine,Allergies,10mg daily,oral,OTC
02292720,diphenhydramine,diphenhydramine,Antihistamine,"Allergies, insomnia",25mg Q6H,oral,OTC
02763207,ranitidine,ranitidine,H2 blocker,"GERD, peptic ulcer",150mg BID,oral,OTC
02520197,domperidone,domperidone,Prokinetic,"Nausea, gastroparesis",10mg TID,oral,Prescription
02484974,ondansetron,ondansetron,5-HT3 antagonist,"Nausea, vomiting",4mg PRN,oral,Prescription
02877629,metoclopramide,metoclopramide,Prokinetic,"Nausea, GERD",10mg TID,oral,Prescription
02873984,bisoprolol,bisoprolol,Beta blocker,"Hypertension, heart failure",5mg daily,oral,Prescription
02855393,candesartan,candesartan,ARB,Hypertension,16mg daily,oral,Prescription
02396439,valsartan,valsartan,ARB,"Hypertension, heart failure",80mg daily,oral,Prescription
02262729,irbesartan,irbesartan,ARB,Hypertension,150mg daily,oral,Prescription
02602571,diltiazem,diltiazem,Calcium channel blocker,"Hypertension, angina",180mg daily,oral,Prescription
02732662,spironolactone,spironolactone,Potassium-sparing diuretic,"Heart failure, hypertension",25mg daily,oral,Prescription
02320254,apixaban,apixaban,DOAC anticoagulant,"Atrial fibrillation, DVT",5mg BID,oral,Prescription
02622594,rivaroxaban,rivaroxaban,DOAC anticoagulant,"Atrial fibrillation, DVT",20mg daily,oral,Prescription
02266171,ASA (aspirin),acetylsalicylic acid,NSAID / antiplatelet,"Pain, cardiovascular prevention",81mg daily,oral,OTC
02969428,nitroglycerin,nitroglycerin,Nitrate vasodilator,Angina,0.4mg SL PRN,sublingual,Prescription
02503183,empagliflozin,empagliflozin,SGLT2 inhibitor,"Type 2 diabetes, heart failure",10mg daily,oral,Prescription
02855812,liraglutide,liraglutide,GLP-1 receptor agonist,Type 2 diabetes,1.2mg daily,subcutaneous,Prescription
02991476,gliclazide,gliclazide,Sulfonylurea,Type 2 diabetes,80mg daily,oral,Prescription
02094449,insulin aspart,insulin aspart,Rapid-acting insulin,Diabetes,variable,subcutaneous,Prescription
02292600,tiotropium,tiotropium,Anticholinergic bronchodilator,COPD,18mcg inhaled daily,inhaled,Prescription
02821946,fluticasone/salmeterol,fluticasone/salmeterol,ICS/LABA,"Asthma, COPD",250/50mcg BID,inhaled,Prescription
02725499,budesonide,budesonide,Inhaled corticosteroid,Asthma,200mcg BID,inhaled,Prescription
02511021,tamsulosin,tamsulosin,Alpha blocker,BPH,0.4mg daily,oral,Prescription
02819510,finasteride,finasteride,5-alpha reductase inhibitor,BPH,5mg daily,oral,Prescription
02150420,sildenafil,sildenafil,PDE5 inhibitor,Erectile dysfunction,50mg PRN,oral,Prescription
02160188,methotrexate,methotrexate,DMARD,Rheumatoid arthritis,15mg weekly,oral,Prescription
02773301,hydroxychloroquine,hydroxychloroquine,DMARD,"Rheumatoid arthritis, lupus",200mg BID,oral,Prescription
02382395,cyclobenzaprine,cyclobenzaprine,Muscle relaxant,Muscle spasm,10mg TID,oral,Prescription
02445201,baclofen,baclofen,Muscle relaxant,Muscle spasticity,10mg TID,oral,Prescription
02572635,sumatriptan,sumatriptan,Triptan,Migraine,50mg PRN,oral,Prescription
02969347,amitriptyline,amitriptyline,Tricyclic antidepressant,"Depression, neuropathic pain",25mg at bedtime,oral,Prescription
02546955,nortriptyline,nortriptyline,Tricyclic antidepressant,"Depression, neuropathic pain",25mg at bedtime,oral,Prescription
02198172,methylphenidate,methylphenidate,CNS stimulant,ADHD,10mg BID,oral,Controlled
02951063,beclomethasone,beclomethasone,Nasal corticosteroid,Allergic rhinitis,100mcg/spray BID,nasal,Prescription
02343090,latanoprost,latanoprost,Prostaglandin analog,Glaucoma,1 drop at bedtime,ophthalmic,Prescription
02349356,timolol ophthalmic,timolol,Beta blocker (ophthalmic),Glaucoma,1 drop BID,ophthalmic,Prescription
02349798,betamethasone cream,betamethasone valerate,Topical corticosteroid,"Eczema, dermatitis",Apply BID,topical,Prescription
02375914,mupirocin ointment,mupirocin,Topical antibiotic,Skin infections,Apply TID,topical,Prescription
02226529,ferrous sulfate,ferrous sulfate,Iron supplement,Iron deficiency anemia,300mg daily,oral,OTC
02193027,calcium carbonate,calcium carbonate,Calcium supplement,Calcium supplementation,500mg BID,oral,OTC
02118995,vitamin D3,cholecalciferol,Vitamin,Vitamin D deficiency,1000 IU daily,oral,OTC
